date,"unit_nav(单位净值,用于区间收益)","accum_nav(累计净值,=unit+0.439历史分红)"
2010-08-17,1.0,1.0
2010-08-18,1.0,1.0
2010-08-25,1.0,1.0
2010-08-26,1.0,1.0
2010-09-02,0.999,0.999
2010-09-09,0.998,0.998
2010-09-16,0.997,0.997
2010-09-20,0.999,0.999
2010-09-26,1.014,1.014
2010-09-27,1.012,1.012
2010-09-28,1.016,1.016
2010-09-29,1.025,1.025
2010-10-07,1.032,1.032
2010-10-10,1.039,1.039
2010-10-11,1.035,1.035
2010-10-12,1.043,1.043
2010-10-13,1.057,1.057
2010-10-14,1.051,1.051
2010-10-17,1.04,1.04
2010-10-18,1.037,1.037
2010-10-19,1.038,1.038
2010-10-20,1.034,1.034
2010-10-21,1.032,1.032
2010-10-24,1.045,1.045
2010-10-25,1.038,1.038
2010-10-26,1.03,1.03
2010-10-27,1.033,1.033
2010-10-28,1.032,1.032
2010-10-31,1.05,1.05
2010-11-01,1.055,1.055
2010-11-02,1.062,1.062
2010-11-03,1.068,1.068
2010-11-04,1.077,1.077
2010-11-07,1.082,1.082
2010-11-08,1.079,1.079
2010-11-09,1.072,1.072
2010-11-10,1.07,1.07
2010-11-11,1.041,1.041
2010-11-14,1.037,1.037
2010-11-15,1.02,1.02
2010-11-16,0.995,0.995
2010-11-17,1.025,1.025
2010-11-18,1.031,1.031
2010-11-21,1.034,1.034
2010-11-22,1.012,1.012
2010-11-23,1.021,1.021
2010-11-24,1.025,1.025
2010-11-25,1.011,1.011
2010-11-28,1.015,1.015
2010-11-29,1.012,1.012
2010-11-30,1.019,1.019
2010-12-01,1.036,1.036
2010-12-02,1.042,1.042
2010-12-05,1.045,1.045
2010-12-06,1.055,1.055
2010-12-07,1.041,1.041
2010-12-08,1.04,1.04
2010-12-09,1.034,1.034
2010-12-12,1.038,1.038
2010-12-13,1.048,1.048
2010-12-14,1.039,1.039
2010-12-15,1.025,1.025
2010-12-16,1.029,1.029
2010-12-19,1.022,1.022
2010-12-20,1.027,1.027
2010-12-21,1.032,1.032
2010-12-22,1.025,1.025
2010-12-23,1.018,1.018
2010-12-26,1.014,1.014
2010-12-27,1.009,1.009
2010-12-28,1.02,1.02
2010-12-29,1.026,1.026
2010-12-30,1.031,1.031
2011-01-03,1.049,1.049
2011-01-04,1.05,1.05
2011-01-05,1.049,1.049
2011-01-06,1.04,1.04
2011-01-09,1.034,1.034
2011-01-10,1.036,1.036
2011-01-11,1.05,1.05
2011-01-12,1.05,1.05
2011-01-13,1.046,1.046
2011-01-16,1.037,1.037
2011-01-17,1.043,1.043
2011-01-18,1.048,1.048
2011-01-19,1.028,1.028
2011-01-20,1.014,1.014
2011-01-23,1.02,1.02
2011-01-24,1.024,1.024
2011-01-25,1.025,1.025
2011-01-26,1.027,1.027
2011-01-27,1.018,1.018
2011-01-30,1.014,1.014
2011-01-31,1.02,1.02
2011-02-08,1.001,1.001
2011-02-09,0.99,0.99
2011-02-10,1.004,1.004
2011-02-13,1.014,1.014
2011-02-14,1.013,1.013
2011-02-15,1.016,1.016
2011-02-16,1.025,1.025
2011-02-17,1.028,1.028
2011-02-20,1.025,1.025
2011-02-21,1.006,1.006
2011-02-22,0.997,0.997
2011-02-23,0.992,0.992
2011-02-24,0.995,0.995
2011-02-27,0.998,0.998
2011-02-28,1.001,1.001
2011-03-01,0.999,0.999
2011-03-02,1.004,1.004
2011-03-03,1.009,1.009
2011-03-06,1.004,1.004
2011-03-07,1.007,1.007
2011-03-08,1.007,1.007
2011-03-09,0.99,0.99
2011-03-10,0.981,0.981
2011-03-13,0.992,0.992
2011-03-14,0.975,0.975
2011-03-15,0.978,0.978
2011-03-16,0.963,0.963
2011-03-17,0.969,0.969
2011-03-20,0.982,0.982
2011-03-21,0.99,0.99
2011-03-22,0.99,0.99
2011-03-23,1.004,1.004
2011-03-24,1.009,1.009
2011-03-27,1.009,1.009
2011-03-28,1.015,1.015
2011-03-29,1.023,1.023
2011-03-30,1.026,1.026
2011-03-31,1.03,1.03
2011-04-05,1.044,1.044
2011-04-06,1.042,1.042
2011-04-07,1.049,1.049
2011-04-10,1.047,1.047
2011-04-11,1.029,1.029
2011-04-12,1.039,1.039
2011-04-13,1.041,1.041
2011-04-14,1.039,1.039
2011-04-17,1.033,1.033
2011-04-18,1.026,1.026
2011-04-19,1.046,1.046
2011-04-20,1.058,1.058
2011-04-21,1.057,1.057
2011-04-24,1.058,1.058
2011-04-25,1.055,1.055
2011-04-26,1.041,1.041
2011-04-27,1.041,1.041
2011-04-28,1.036,1.036
2011-05-02,1.022,1.022
2011-05-03,1.005,1.005
2011-05-04,1.004,1.004
2011-05-05,1.009,1.009
2011-05-08,1.014,1.014
2011-05-09,1.014,1.014
2011-05-10,1.022,1.022
2011-05-11,1.005,1.005
2011-05-12,1.007,1.007
2011-05-15,1.0,1.0
2011-05-16,0.999,0.999
2011-05-17,1.009,1.009
2011-05-18,1.007,1.007
2011-05-19,1.003,1.003
