季度,截止日期,序号,股票代码,股票名称,占净值比例%,持股数_万股,持仓市值_万元人民币
2021Q1,2021-03-31,1,00883,中国海洋石油,5.65,4161.2,28592.91
2021Q1,2021-03-31,2,SE,Sea Ltd ADR,3.91,13.5,19803.3
2021Q1,2021-03-31,3,VNET,世纪互联,3.77,90.0,19102.77
2021Q1,2021-03-31,4,BILI,哔哩哔哩,3.75,27.0,18995.13
2021Q1,2021-03-31,5,09988,阿里巴巴-SW,3.67,100.0,18593.96
2021Q1,2021-03-31,6,00700,腾讯控股,3.36,33.0,17013.47
2021Q1,2021-03-31,7,WOLF,Wolfspeed Inc,3.16,22.5,15987.48
2021Q1,2021-03-31,8,TSM,台积电,3.11,20.25,15739.38
2021Q1,2021-03-31,9,01209,华润万象生活,3.09,400.0,15652.73
2021Q1,2021-03-31,10,00522,ASMPT,2.98,180.0,15068.71
2021Q2,2021-06-30,1,RBLX,Roblox Corp-A,9.88,83.78,48696.77
2021Q2,2021-06-30,2,00700,腾讯控股,7.88,79.93,38840.76
2021Q2,2021-06-30,3,00883,中国海洋石油,6.20,4161.2,30573.44
2021Q2,2021-06-30,4,SE,Sea Ltd ADR,4.86,13.5,23948.24
2021Q2,2021-06-30,5,NVDA,英伟达,4.64,4.43,22871.61
2021Q2,2021-06-30,6,LULU,lululemon athletica inc,4.57,9.56,22546.15
2021Q2,2021-06-30,7,PDD,拼多多,4.31,25.86,21221.54
2021Q2,2021-06-30,8,BEAM,Beam Therapeutics Inc,3.66,21.7,18041.44
2021Q2,2021-06-30,9,BILI,哔哩哔哩,3.51,22.0,17316.17
2021Q2,2021-06-30,10,09939,开拓药业-B,3.48,326.95,17139.06
2021Q3,2021-09-30,1,RBLX,Roblox Corp-A,9.48,75.85,37162.86
2021Q3,2021-09-30,2,TSLA,特斯拉,9.44,7.36,37006.08
2021Q3,2021-09-30,3,00700,腾讯控股,7.84,79.93,30723.0
2021Q3,2021-09-30,4,SE,Sea Ltd ADR,7.65,14.5,29968.07
2021Q3,2021-09-30,5,03690,美团-W,6.41,122.35,25134.68
2021Q3,2021-09-30,6,NVDA,英伟达,6.07,17.7,23780.22
2021Q3,2021-09-30,7,LULU,lululemon athletica inc,5.34,7.97,20918.65
2021Q3,2021-09-30,8,MRNA,Moderna Inc,5.15,8.08,20176.43
2021Q3,2021-09-30,9,SQ,Block Inc-A,4.86,12.24,19044.88
2021Q3,2021-09-30,10,BEAM,Beam Therapeutics Inc,4.65,32.29,18221.58
2021Q4,2021-12-31,1,03690,美团-W,10.11,201.38,37111.72
2021Q4,2021-12-31,2,NVDA,英伟达,9.45,18.5,34688.91
2021Q4,2021-12-31,3,TSLA,特斯拉,9.17,5.0,33675.09
2021Q4,2021-12-31,4,00700,腾讯控股,7.86,77.3,28869.98
2021Q4,2021-12-31,5,RBLX,Roblox Corp-A,5.71,31.89,20972.23
2021Q4,2021-12-31,6,LULU,lululemon athletica inc,5.24,7.71,19237.13
2021Q4,2021-12-31,7,TSM,台积电,4.97,23.79,18247.14
2021Q4,2021-12-31,8,BEAM,Beam Therapeutics Inc,4.32,31.23,15866.76
2021Q4,2021-12-31,9,NOW,现在服务公司,4.13,3.67,15170.2
2021Q4,2021-12-31,10,AMD,超威半导体,4.01,16.04,14718.95
2022Q1,2022-03-31,1,TSLA,特斯拉,10.24,3.82,26129.2
2022Q1,2022-03-31,2,NVDA,英伟达,9.42,13.89,24057.59
2022Q1,2022-03-31,3,TSM,台积电,5.63,21.71,14369.65
2022Q1,2022-03-31,4,MSFT,微软,5.35,6.97,13647.26
2022Q1,2022-03-31,5,NOW,现在服务公司,4.42,3.19,11275.32
2022Q1,2022-03-31,6,BEAM,Beam Therapeutics Inc,4.06,28.5,10367.51
2022Q1,2022-03-31,7,MRNA,Moderna Inc,3.76,8.78,9596.48
